COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Ngaoundal,,,,,,,,,,,,,,,
Ngaoundal,Centre Dinstruction Cpefan A,,,,,,,,,,,,,,
Yaounde I,Institut Bilingue Demana B,374,178,183,0,0,85,0,78,12,1,1,0,0,6
Yaounde I,Institut Bilingue Demana C,392,172,172,00,00,67,02,86,14,02,00,00,00,01
Yaounde I,Institut Bilingue Demana D,395,182,181,1,0,89,2,63,22,1,0,0,1,3
Yaounde I,Institut Bilingue Demana E,394,182,182,0,0,56,0,106,10,2,0,0,1,7
Yaounde I,Institut Bilingue Demana F,386,207,206,01,,75,00,99,19,01,00,00,02,10
Yaounde I,Institut Moderne Mbassi A,371,254,251,3,0,148,0,70,21,2,1,1,2,6
Yaounde I,Institut Moderne Mbassi B,363,181,181,0,0,104,0,51,21,0,0,1,0,4
Yaounde I,Institut Moderne Mbassi C,320,179,177,2,0,128,0,33,13,1,0,0,0,2
Yaounde I,Institut Moderne Mbassi D,377,248,245,00,,117,00,106,19,00,02,01,00,03
Yaounde I,Institut Moderne Mbassi E,313,142,141,1,0,75,0,42,21,0,0,0,0,3
Yaounde I,Institut Moderne Mbassi F,292,196,194,0,2,122,1,41,21,1,1,0,1,6
Yaounde I,Institut Sup Tech Medicale A,393,212,210,2,0,139,1,58,10,1,0,0,0,1
Yaounde I,Ipar A,344,172,172,02,00,117,00,31,15,00,00,01,00,06
Yaounde I,Ipar B,331,152,151,00,01,77,01,48,20,01,00,00,00,04
Yaounde I,Lycee De Nkol Eton A,366,174,173,1,0,119,2,31,12,1,0,0,1,7
Yaounde I,Lycee De Nkol Eton B,356,126,126,00,00,72,05,28,18,01,01,00,01,02
Yaounde I,Lycee De Nkol Eton C,337,130,128,1,1,89,1,17,17,0,0,1,0,3
Yaounde I,Lycee De Nkol Eton E,256,102,102,00,,61,02,20,12,00,00,01,01,05
Yaounde I,Lycee Delig Essono B,340,166,171,02,02,116,01,29,15,00,01,00,01,04
Yaounde I,Lycee Delig Essono C,327,157,154,3,0,103,2,30,13,1,1,1,0,3
Yaounde I,Lycee Delig Essono D,236,102,102,0,0,73,0,8,16,3,0,0,0,2
Yaounde I,Lycee Demana A,415,224,224,0,0,120,1,71,28,0,0,0,0,4
Yaounde I,Lycee Mballa Ii A,364,195,195,00,00,107,00,49,26,01,00,00,03,09
Yaounde I,Lycee Mballa Ii B,347,151,149,2,1,95,2,30,17,0,0,0,1,4
Yaounde I,Lycee Mballa Ii C,350,144,144,01,00,87,01,30,18,01,00,00,02,02
Yaounde I,Lycee Mballa Ii D,337,158,156,2,0,91,0,35,16,1,0,2,0,11
Yaounde I,Lycee Mballa Ii E,360,133,133,00,00,72,02,33,15,00,01,00,02,08
Yaounde I,Lycee Mballa Ii F,339,118,118,0,0,71,2,25,17,0,0,0,0,3
Yaounde I,Lycee Mballa Ii G,348,157,156,0,1,96,0,29,20,1,0,0,0,10
Yaounde I,Marche Elig Edzoa A,398,204,202,1,1,134,4,41,14,1,0,2,2,4
Yaounde I,Marche Elig Edzoa B,422,160,158,2,0,79,0,55,14,0,0,2,0,8
Yaounde I,Marche Elig Edzoa C,405,160,155,3,2,84,5,45,11,2,0,3,1,4
Yaounde I,Marche Elig Edzoa D,120,62,60,02,00,29,02,21,05,00,00,00,00,03
Yaounde I,Marche Mfoundi B,352,100,100,00,00,62,02,20,12,01,00,01,02,02
Yaounde I,Place St Paul Debendi A,410,315,313,02,00,211,06,72,14,00,00,01,02,07
Yaounde I,Place St Paul Debendi B,331,184,180,4,0,100,4,51,18,1,0,2,0,4
Yaounde I,Poste Agricole De Nkolndom I A,415,260,259,1,1,222,0,13,18,2,0,1,0,3
Yaounde Ii,,,,,,,,,,,,,,,
Yaounde Ii,College De La Grace A,386,189,186,3,0,122,2,43,13,0,0,1,0,5
Yaounde Ii,College De La Grace B,162,162,162,0,0,83,02,50,16,02,01,03,01,04
Yaounde Ii,E Bilg Newton A,476,231,229,02,0,123,16,50,25,05,01,01,03,05
Yaounde Ii,E Mat Christ Roi Tsinga A,348,210,209,01,0,128,03,48,14,2,01,01,0,12
Yaounde Ii,E Mat Christ Roi Tsinga B,388,94,94,0,0,47,5,29,8,0,0,1,1,3
Yaounde Ii,E Mat Christ Roi Tsinga D,366,165,162,0,03,88,01,44,26,01,0,02,0,0
Yaounde Ii,E Mission Cath I A,315,164,162,2,0,94,4,36,12,1,0,12,0,3
Yaounde Ii,E Mission Cath I B,269,110,107,3,0,59,6,14,12,0,0,16,0,0
Yaounde Ii,E Mission Cath I C,224,134,133,1,0,83,4,17,11,0,0,15,0,3
Yaounde Ii,E Mission Cath Ii A,237,125,124,1,0,80,1,26,15,0,0,2,0,0
Yaounde Ii,E Mission Cath Ii B,246,114,114,0,0,88,0,14,6,0,0,6,0,0
Yaounde Ii,E Nat Sup De Police Ii B,327,119,118,1,0,54,8,24,22,0,0,4,1,5
Yaounde Ii,E P Messa A,418,258,251,7,0,156,8,56,23,1,0,2,1,4
Yaounde Ii,E P Tsinga A,402,137,135,2,0,57,14,51,10,1,0,1,0,1
Yaounde Ii,E P Tsinga C,415,154,151,3,0,80,9,36,17,1,0,2,3,3
Yaounde Ii,E P Tsinga Oliga B,394,181,180,0,0,90,01,58,25,01,01,01,01,02
Yaounde Ii,E Pr Bethlehem B,360,139,138,1,0,54,4,64,9,0,0,2,0,5
Yaounde Ii,E Pr Grace I B,432,214,208,6,0,74,1,107,12,1,0,3,4,6
